                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9259,                 4.4988,                   3.87,                0.00307,                 0.7209,                0.04134,                0.00865,                 3.1516,                 4.0839,                 3.2839,             0.00054712,             0.00054712,             0.00054712
                      2,                 2.8871,                 3.8269,                 3.1085,                 0.0037,                0.85137,                0.07206,                0.01778,                 2.7852,                 3.9689,                 2.4514,             0.00099361,             0.00099361,             0.00099361
